tdt field,sub-field,description
epocs,Cam1,Cam1/2: onset and offset time of each frame
,Cam2,
streams,UDLP,"Utah array data recordings in dorsolateral prefrontal cortex (DLP)
[n_chns,  n_temporal]"
,UMCX,"Utah array data recordings in motor cortex (MC)
[n_chns,  n_temporal]"
,UPMC,"Utah array data recordings in premotor cortex (PMC)
[n_chns,  n_temporal]"
,DBSS,"DBS recordins in STN
[n_chns,  n_temporal]"
,DBSG,"DBS recordings in GP
[n_chns,  n_temporal]"
,EYET,"x,y positions of eyes from eye tracking system
[2, n_temporal]"
,TASK,"4-bit event codes from GoNogo/COT task program.
[4,  n_temporal]"
,STPD,"Startpad signal
[1,  n_temporal]"
